texto,real
"Great selections.  Easy to use interface.  I have playlists for everyone in the family (me, hubby, and 10 year old son).  Works great on the PC and my MP3 players (no Apple products tested).  Also use with Sonos and that interface is also simple to use.Only complaint is that you can't customize your plan.  I want 2 MP3 players and I'd have to pay for 3.  It's an extra $70 a year.  I would only pay $2 a month for the second player, so I got a huge capacity MP3 and share.  Easy to do with playlists.",4
"I really don't think I could live without Rhapsody. I have it on my phone, my computer and my Kindle Fire. I use it everyday, no matter what device it is on, it works great. It is a wonderful way to take your favorite music and playlists with you wherever you go, whatever you do. Be aware that you do have to have a subscription and I'm pretty sure the price can range from $10 and up per month.",5
"I love this app!! Yes,after 14 days you have to pay $9.99 a month....but this app has helped keep my sanity. It is the first app that Amazon has put out for music that I have liked. I  have tried over 100 apps. from Amazon and they asked for my opinion....here it is.Rhaspody has an extremely large array of music.I had no problem finding all the different artists and albums that I love. You can even download music to play off- line . I can listen to my music all day and night long.Please get this app....you,ll love it!",5
If you pay for the subscription then by all meens get this App. It works well and  I love the service. I have a family of 4 and we all use it under one price.,5
"Tried to run this on my Kindle Fire; kept giving me message that I needed an updated flash player. When I tried to download, there were several selections, but none seemed to match my Kindle Fire settings and the ones I tried to download, didn't make Rhapsody work either. There seemed to be two ways to access Rhapsody; one took me to all this problem of the download and the other was the pay for it monthly option. I deleted all the downloads & Rhapsody app off my Kindle.",1
We love Rhapsody we use it all the time. Affordable and we can have it on 3 devices at once. We are so done wasting money on our itunes acct.5 stars all the way,5
"It just doesn't do what I needed it to do.  For someone else maybe, but I get lost in my own house LOL.",1
"I Have to Say that of All of the Many Other Music Player Apps.Around,(This 1 has the Best Overall Selection of All)!!!If you like Obscure Stuff Especially!!!!",5
"I have been a Rhapsody susbscriber for many years.  The service has been reliable and a good value, but the latest smartphone and tablet apps take it to a new level.  The UI is much improved, intuative, and brings recommendations and new releases once available only on the desktop software.  Good work!",5
"I have used most every subscription music service and when it comes to their apps, Rhapsody's offers one of the best experiences. While Spotify revolves heavily around playlists and radio, Rhapsody has both and a whole lot more. It is much easier to navigate and find the music you are looking for and it includes easy access to your saved music library. Plus you can download individual tracks, albums, and playlists for offline play. Both the interface and visual appearance are very nice. The sound quality tops out at 192 kbps AAC+, which is not as high as some services, but sounds great from my experience. There is a lower setting if you need to save data usage. Any song in their library can be listened to on-demand (or as part of a playlist or radio station) through their app. All ad-free.The service itself requires a subscription, currently $10 per month. While they do have free trials, they do not currently have a free version of the service. So if you are not interested in subscribing or giving it a trial run, then this app is probably not for you.I use this app on my first generation Kindle Fire and so far no complaints.",5
I have been a therapist fan for years. it' s a great product. download as many songs as you want each month. super quick and easy. affordable.,5
I love my rhapsody!! I was so glad that I could get it on my kindle for my daughter!! I have had Rhapsody since it was Napster...love that it is a device that we can use it on!,4
this app I do not use. and not sure how to get rid of it so I am stuck with it,5
"I did the 7-day trial and was impressed, but am continuing my search for the best music app. Pros: tons of selection (but every music app has that); my account worked on the phone and online (at least for the trial; not sure if that applies afterwards); download to play off-line (while you have the service, obviously); decent UI (I made the buttons larger for in-car use); decent arrangement of genres with descriptions, key artists, key albums, key songs; info about artists is reasonably detailed; radio stations (though lots of music apps have those); tracking of songs played (though that seemed to be online only); recommendations are ok. Cons: songs did lots of skipping/jumping, even when I had 4 bars & 4G, and even online (though songs sometimes continued when coverage was bad); lacks the customization of thumbs up/down that I grew used to in Pandora; playlist UI isn't helpful - it shows a big view of the album of the currently playing song, then the list rolls of the screen, with no view of the upcoming song (you have to scroll all the way down the list); no lockscreen control; online there doesn't appear to be a way to create shortcuts to favorite radio stations; no scrobbling (there are some 3d party programs for online use). Will continue checking out Pandora, Tunewiki (really like the sync'd lyrics, when it works), Slacker, Winamp, Rdio, etc.",3
I use this app so much at work and at home. Just find my favorite artist of the day and play their music while I work!,5
"Rhapsody is great if you like ""All you can Eat"" music..  There are a lot of music programs and services out there now but I always come back to Rhapsody for a couple reasons.1.) I love their desktop app!!2.) I love being able to use the service with a REAL mp3 player, not just an android phone or ipod touch/iphone.  With the desktop app, the service works with Sandisk MP3 Players (Most are supported but check rhapsody before you purchase one)Now for this app.  The app on android and Kindle is great.  It gives you access, not just to their radio feature, but also to their ""all you can eat"" music service.  You can download the tracks to your phone for free (As long as you keep paying the monthly fee, these songs stay active"".  Their ""radio"" feature is great if you like services like Pandora.  The Rhapsody radio doesn't have the ads like Pandora and other free radio services.  The radio feature is also very smart just like Pandora (Though I would say it is not as smart as Pandora).Overall this is a great app if you like music and like being able to choose what songs you want to listen to or if you wanna listen to an entire album!!  And the app doesn't bog the phone down with adds or video adds like Pandora!Try it for a month!! Most new phones and kindles will give you a free trial! If not you can use this link for one.. I was one over with the free trial I received when I downloaded this app to my Kindle[...]",5
"Awesome choice of music, but I can't have my kindle and my phone signed up together, even though you can have up to 3 computers, which sucks. And I can't find the music I've downloaded anywhere in my device.",4
It allows me to access Rhapsody on my Kindle which I would not be able to do without the app.,5
"I have been a subscriber to Rhapsody for more than 5 years.  The selection of music in the genres that I like to choose from is adequate...nothing great!!!  I only stay with them because I need to update the license every 30 days or so in order to listen to the music I have downloaded to my MP3 player.  But I am giving serious consideration to going to an alternative music source.  Reason you asked...the software is very &#34;unstable&#34; in my opinion.  It frequently locks up at the most inopportune times.  Obviously, this requires restarting the software program and reloading what I had already begun.  It happens so often, that it has become a pain in the backside.At this point, I would not be strongly recommending Rhapsody to others.",3
I love rhapsody. I always used it to listen to music or find new songs to download on my devices.,5
Apparently my home subscription of Real Player wasn't good enough to stream on my Android device.  Required subscription upgrade (similar to Sirius/XM),2
"You cant use this unless you have a PAID account. and if you do, it can only go to 3 computers/kindles (whatever). anymore you will exceed your limit. THIS STINKS",1
"I love it, it works great as a mobile radio app. I've been able to use Rhapsody for a year and the product and app are defiantly recommended.",4
Ipad and Ipod Touch versions are much better. App can be hard to navigate at times and seems more like a mobile site than a convenient app.,3
why would you want to get a free app and but then have to pay 10 bucks a month to use it?,1
"No matter what kind of music I want to listen to, its there! I even get a guided meditations anytime I want! Its unlimited!",5
I love Rhapsody but it costs additionally a monthly fee in order to use your rhapsody account on an android tablet. Unless you are constantly on your tablet I don't think this is worth the cost.,3
You have to go onto a computer to sign up. Well I don't own a computer!Make it so you can sign up in the app,2
wanted to find a music app that was free this one was not and was way too much money for what I was looking for.,1
"I had Rhapsody acct. on my computer before I bought my Kindle Fire.  It os very easy to use to find songs, vocal groups, or genres of music and the dowhloads are fast and easy to transfer to mp3 players or the Kindle Fire.",5
Greatest hits and win the strength slots with Elvis Presley slots are greatest so much a hit with slotomania. So keep it the higher rating.,5
"Have been using it for years, millions of choices to choose from.  Easy program interface to use.  Audio quality is great.",5
"is the music I like, non-commercial, so I recommend it, every day my daughters and I heard music, they doing their homework and I cleaning my house and the songs are our inspiraton, thank you",5
Love that I can type any song in and it comes up quick. Better than Pandora.,5
I had Napster before it changed to Rhapsody. I love Napster. being to listen to any music genre I'm in the mood for no matter where I am.I would recommend this product to anyone who likes music. The monthly plans are also very reasonable.,5
"I happen to like the country genre, and the music sounds are unbeatable! I believe this would true with any genre that you  might like!",5
"If only the software was better.As said, the service is amazing.  Competitors like Zune and Qriocity don't have a library anywhere near as deep as Rhapsody's.  But Rhapsody front ends on the Droid and the PC are sub-par.  The latest app update is better than the previous, but its still butt-ugly, and getting around feels harder than it needs to be.  They've added hi-def streaming to the latest version, and it sounds great.  A track still occassionaly drops, but I'm getting fewer of them now.Someone said that you need a higher priced subscription to use the PC software.  This isn't true, my 9.99/month subscription allows me to use the software on one mobile device and 3 PC's.But as far as the PC software goes, its simply awful.  Its supposed to handle downloads and transfers to your mobile device for offline listening, but I can't get it to work properly with my phone.  Its also hideously ugly (think old school Itunes).  Windows doesn't look like apple, so don't make an app that poorly emulates the look of an app that's already ugly.Great service...just wish they'd write better software, and hire someone who wasn't colorblind to build the interfaces.  Black and blue and gray...no real polish.Easy 5-stars if they bring their interfaces into the modern age, and make the PC version work right.  I've figured out how to download stuff to my phone for offline listening without the PC client, but a functioning client would make this so much more pleasant.They've released a web beta that looks pretty darn sharp--hoping they'll bring its look and feel down to the PC and Android soon and move the button/menu options around so I have less mis-taps.",3
I got a new Kindle and quickly started downloading a bunch of apps and books.  I downloaded this app and realized it wasn&#8217;t for me.  It bored me very quickly.  I downloaded the important ones from Amazon&#8217;s library and am content with what I have.  Not for me&#8230;but maybe you&#8217;ll like it.,3
I like it cause the music can be saved and stored in rhapsody song match and if you have an account with them your music is automatically saved.,5
I love Rhapsody and have it on my home computer.  But this AP wanted me to pay for a second membership for it. I deleted it from my kindle,1
"Excellent source for music if your  willing to pay for the service.  If you're looking for music give it a try, they give you a free trail. If you don't like it you can always look elsewhere.",4
"This app is a widget on Android devices; works as an app on the Fire.  Easy to use, and provide reviews and information about the artists you listen to.",4
"Went looking for a app to listen to tunes on my Kindle fire.Tried a few free app,not my cup of tea).Like this 1 cause I don't have to take up a lot of space on my device.",5
This simply is the best app for music. $10 is a great price to get all of your favorite songs classic and modern. Don't go anywhere else. Falsify is the best,5
This app was a free trial for a certain amount of time. I used it daily when I downloaded it.  I enjoyed being able to listen to any song I was in the mood for.,5
For those of you who already have a Rhapsody subscription this is a good app to get.  As long as you can connect to the internet you can listen to your music without filling your devices storage space.  The interface is simple to use.  It needs a graphic equalizer and at nothing you can&#8217;t beat the price.,3
"Works great!  Sign in once and get most of your music at your fingertips!  Not all music is readily available, but most is right there!",5
"Rhapsody it great to have on your tablet or computer. Great music with famous artists and songs for free and you also can upgrade to avoid ads,but for me  its ok with the ads for free.",5
"I have used this music source for a number of years and overall, they have a good variety ranging from Jack Hylton to Frank Sinatra to Black Ghosts. The only problem I had is that I had to keep the Caffine app on in order to get more than 30 seconds of a song which I found a little frustrating.  Still, a great way to hear some music from yesteryear and expand on your interests!",4
"I've been using Rhapsody since the former Yahoo Music days.  The app for Kindle works great, just like the apps for the other Android devices.",5
I just wanted a music player for what I already own.  This charges you to listen to music that is provided.  Dev needs to be more clear about this.,1
I know this app has been out for a while but I just downloaded it.  It's easy to use I just have to remember that I have it on my kindle.  I can get used to it though.  And it's free.,4
We can't get enough of Rhapsody! I play it everyday for the entire house as we work and play. It is amazing!,5
"was a Napster subscriber when it joined rhapsody, now can finally use the service on my fire! there was no Napster app for the fire. anyhow,  great interface and music streams nice and clear!",5
can download all the songs i like and it is easy as pie!! my son got me interested and am so glad he did. Will continue to use this app!!,5
"Soo much easier than downloading music. I don't care about the 10 bux a month subscription. I get to listen to anything from comedy cd's by kevin hart, wheels on the bus for my son or the first beastie boys cd. It has everything.",5
I have been a member of Rhapsody now for &#34;years&#34; ! I believe as for a recommondation &#34;years should say it all&#34;,5
I love Rhapsody especially the updated version. My whole family uses it. We have it on all our gadgets. recommended,5
This application simply did not work the way I thought it ought to work. When I loaded the app on my device I thought I would be able to load selected tunes from my PC library to this. Instead the app displayed a mind of its own and loaded songs at random. Not at all user friendly.,1
This is  a great! It pops up and you can devotions from a number  of people! but nothing is better that The scriptures daily!,5
The best part of this app is that you can listen to free podcasts or sermons. I love hearing Joel Osteen so this is my fav feature.,5
Every morning I wake up to an inspirational bible verse. It helps me clear my mind before a long day. I can save the verses also if I want to refer back to them in troubling times. It even works without an internet connection somehow. I was on a cruise with no internet or mobile data and i STILL received my verses. Such a blessing!,5
It is so nice to have the Bible at your disposal. I love the reading plans and well as the fact that it can be read to you.,5
Remove,5
Wish that It was easier to navigate in but for the most part a great app for the Bible.  Praise God,4
"Clean, simple, easy to use. Daily verse, choice of Bible version, devotionals and pod casts. Would recommend to anyone! A real blessing!",5
I first downloaded it on my cell phone. Enjoyed it so much I've recently downloaded it on my Kindle. I enjoy the daily verse as well as the other features it offers.,5
I wish this had more versions. I love the daily verses and the ease of checking it but I like more background and history on the Word.,3
I downloaded the bible app for my kindle fire and I also have it on my phone. The app is so great! I dont have any problems with anything. I love listening to the podcast. Joyce Meyer is my favorite.,5
I enjoy my Daily Bible as I enjoy reading a verse when I firstopen my cell phone in the morning.  I find it very inspirational.,5
"Thank you for the DAILY BIBLE, JoanSoft.....  I now start my day with listening to the DailyVerse.  I am a religious person but not to the extreme.  Listening to the DailyVerse reminds me of my days in grade school when we started the day off by reading from the Bible. It didn't hurt anyone and I know it helped me.  Thanks again for a great app.",5
"Great app. I enjoy seeing the random daily verses.  The podcasts are the best.  One of my favorite evangelists, Joyce Meyer, is on there.",5
Very versatile app for daily reading of the bible.  Different reading plans offered.  Helps me work on my daily reading.  I like the fact that I don't have to carry around a paper copy book!,5
unless you are connected you will not be able to read the Bible. I did like the daily verse of the day. There are also many different versions of the bible that you can choose to read from when you are connected to the internet.,3
"This app is great!  It has a daily verse, a daily reading plan and then a whole list of daily devotionals, both audio and written.  I usually check out the Our Daily Bread audio podcast from here instead of going to odb.org and read My Utmost for His Highest (no longer available! :-( But still appears in list for some reason).  There is also a place to seach the bible by verse or keyword.  Many of the popular versions are available including NIV, NKJV and NASB.  Is exactly what is says... a Daily Bible!  Thanks for this app!",5
I am able to share and send devotions to my friends of many different speakers. Also you can find many different types of devotions with different versions of the Bible. Love it.,5
"What a refreshingly wonderful app. There is so much content out there that to have it all mailed to me would be overwhelming. Thanks to these wonderful people I have been able to expand my spiritual walk to measures unknown to me. My eyes have been opened to revelations and deep understanding that otherwise I had been ignorant to. By having and using this app my daily morning study gets me ready for the day and keeps my heart in tune with God.It is customizable to which content I decide to read and listen to. Because of the audio portion my spiritual walk has encountered a new path of what can only be described as an old friend. That is how he will make you feel after just a short listen. I am talking about Pastor McGee and his TTB Bible radio program. It is a five year journey through the entire Bible and no one has been able to explain it as he has.McGee has a unique view into the word of God and looking back he was indeed at the beginning movement of the Christian non denominational faith. He saw the way had been opened and how chains of hierarchy and rules of the old establishment were being abandoned.He is only one of many podcasts that are available, from daily to old sermons to modern convention speeches. Rick Warren has a spot there as well as Joyce Meyers and so many others.Daily reading plans and so many wonderful features.I have gained so much for so long that some time back I became a regular supporter  of their ministry for it is with these works that many are being baptized in the Holy Spirit.",5
"This isn't a bad ap, but I prefer Our Daily Bread and Daily Bible Devotion better.  I do read it once in a while.",3
This app is a really worth getting if you love the Bible as I do.  It has a lot of great features.,5
"ONLY i wish it was in other versions, like the ESV, and the NKJV ~ but this is a great study/read!",5
It gives you an update everyday on any verse it's kinda like the verse of the day.If you want it to read to you it will.If you get distracted a lot just  put in your ear-buds and listen to it.,4
It is good but I was looking for more.I could be what you need so give it a try.,3
"I mostly listen to the scripture for the day.  Sometimes experience difficuly with podcasts.  Good source of reference. Pop ups to get more out of the app, can be a little annoying.",3
"This is a great app for daily scriptures, the bible on the go, and inspiring podcasts.  There is also an audio button for those who cannot read.",5
"The daily Bible by joansoft is hands down the best daily Bible app on the market, ANY market. I love the fact that it is extremely easy to use. My favorite feature is the share feature allowing the user to quickly and easily share the verse of the day to any social networking site. There is quick and easy links to a whole plethora of daily devotionals helping the user to develop their walk with God on a daily basis. I love this app and I have had MANY Bible apps but none can compare to what this one offers.",5
love the daily Bible verses each morning. I don't always have time to read the Bible for my Bible study group so being able to listen to the Bible or have it at my fingertips and when I have a moment is great,4
ok I don't have this version of the Bible app. I have the you version but anyway I read the reviews and am totally shocked!! do some people really not know what the Bible is and think its fiction!!! I am totally blown away by this. God is very real and he is our savior he also gave us free will. so you are free to choose your path and what you believe. however he loves us all anyway and should you ever come to God he will welcome you with open arms. God bless,5
So far this it the best Daily Bible that I've found as a free app so far.  I've only been looking for about a week but so far I really like this one.,5
"This app has everything you need. Daily scripture, bibles, devotionals. I look forward to it every day. I like that I can set it to come on automatically every morning.",5
I really love everything about this app.  I use it all of the time.  It gives you total access to the Bible.  Works great on the Kindle Fire.  I'm spoiled.  I'd be lost without it!!!!!  I mean that.,5
"Works for the most part if you're reading, but I like to listen to the Bible while driving.  It's nice that it even has audio because none of the other free bible apps I know of offer that.  My only beef is that sometimes the audio works, and sometimes it doesn't.  I guess it's not the app's fault.  Probably has something to do with the Sprint cellular network I'm on.  I would have preferred to have an option to save the files on my phone as opposed to getting them off the web every time I open it.  That way I'd have instant access to it.  I gave three stars however because despite its problems, the price is right.",3
This app gives me the motivation needed to meet the day.  A reading from the Good Book always puts me in the proper mind set.,5
Great app for Christians. You will enjoy this app and enjoy the choices you have. One of my favorites! I love this app.,5
"I am using this app as part of my morning devotionals.  Perfect combination of verse, daily Bible reading, and devotional.  I have others I do, but save this for the last one as I really enjoy it!",5
best biible app ever hay finallyvvvhhhjhhjjnnn b b b b b b b b b bjbbnbn nbn. n. Nb. j. b,5
I use a different bible for scriptures. However this one has insightful scriptures for my wife and I to talk about and the daily plan that we can read during the day and talk about later. this app has helped is to be more insistent with reading the bible and praying together.,5
This App is important to me because I can cross references it with my study Bible. It is a great App.,5
The Daily bible give me a verse to read and easy way to get to other chapters and verses.  It even let me read different bible version.,5
There's Always Time for the Daily Bible.  I like this product because it's right there at your finger tips. Great!,5
"This app was actually very stupid and very boring.  Unless I missed something, its nothing but a blank screen with one verse written down.  You can't really do to much more then read the one small passage.  I deleted it after about a week.",1
I really love this app!  It's a nice way to have a daily scripture to ponder over.  There is also the option for more in depth scripture study which I also love.  I truly look forward to checking this app daily and it has added another nice source to help grow in my faith daily.,5
"I love waking up each day to a bible verse.  You have the opportunity to save verses creating a type of ""favorite list."". You can look up verses in full context and in different Bible versions.  There are other features, and the app works great on any phone I've ever had.",5
", Also has a share info port on screen to send same to family & friends.  I love that you can read whatever version you want,The writing is easy read.. Good Job!!!",5
"I have been trying to find a really good Bible plan. Well I did.  I listen with the audio and it is fantastic.  Finally something I know I will stick to. This plan gives me devotionals, preaching and Bible reading.  I can hardly wait until tomorrow for the next reading.  :-)",5
Thank you for providing an app that not only has a daily Bible verse but other preachers as well. Thank You,5
"So many days I've been comforted and encouraged by this app! The customization options for study are terrific. If what you want is supplemental to your time in the Word, this app cannot be beaten!",5
"I get to listen to different messages from a long list of preachers from Joel Olsteen, Joyce Meyer and Creflo Dollar. It is a spiritual tool I tap into more than once a day. This app also allows me to search chapters or verse and it can be read to me which is hard to find (in a human sounding voice)  .THIS IS MY GO TO APP FOR PODCASTS.",5
Use this app nearly every day. I enjoy reading it and sometimes listening to the audio version. Handy to have many translations.,5
It's god work. enjoy not only able to read it but listen to the word too. Very good excellent book,5
My son loves this and uses it daily on his little Tablet.  He has learning Disabilities and cannot read well without the Tablet's help and he enjoys reading (or having the Bible read to him daily!,5
"I have this on both my phone and Kindle Fire HD. I use it more on my phone. It requires WiFi or Internet, which makes it more usable on my phone. I love getting the verse everyday. I can search and read devotionals as well. It is a really nice app for on the go purposes.",5
"I am busy 24/7.  I am embarrassed to admit my quite time with God at times is less than 5 minutes a morning.  On those days this app comes in handy.  Also, some days I need a pick-me-up and this works every time.  I like how I can choose the version (NIV KJ NKJ etc)",5
"What a great blessing to have this to read each morning, each and everyday Gods Word right on my kindle, and different versions great work, t hank you thank you!!!",5
"I didn't like that you could select a version for you daily verse, but the daily reading defaults back to ESV, and you can't change it. I deleted it within a few minutes",1
"This app allows you to read the Bible, receive daily devtionals, and daily scriptures in the most commonly used Bible version (atleast by me) NLT, NKJV, and KJV. You also get to listen to podcast by today's leading ministries ex: Joyce Meyer, Joel Osteen, Charles Stanley and etc.",5
I love how it reminds me every morning to read my daily verse. I really love it!!!!!!!!!!!!!!!! This Bible is made for every type of Christian.,5
"I love this app. My favorite part is getting the reminder for the daily Bible verse in the morning. I also like being able to hear the scriptures, so if I don't have time to sit and read, I can be listening to God's Word!",5
"I love this app. I have no complaints, and I didnt have any complications with this app, very easy and simple to understand. I love reading the bible where ever I go.",5
"I liked the Daily verse option.  However, the DailyPlan was hard to follow.  It does the job...I will keep it.  I am back to using my hands-on Bible though.",3
"GET THIS APP!  If you desire to gain more knowledge about the Bible and to be able to do it on a daily basis, I would highly recommend this app because it keeps you on track and you can both read and listen to it either at home or in your car.  This is an awesome app also because it has several great features that make it better than other similar apps.  Unfortunately, you can't get this app for the Apple system, but if you have a Kindle or Android you are set.  I highly recommend it!",5
"It's a good app. You do not need an internet connection to use it or to get the verse of the day, which is cool, but it would be nice if you could highlight (like you can a kindle book) but other than that, a good app.",4
I listen to this app all the time especially the devotions where you can listen to many great podcasts. It is very easy to use and recommend it highly,5
quick and easy to get to on my laptop. great for in a rush adn on the go love it,5
"I love it.  What else can I say.  Getting God's word every day, even from a tablet is the best.",5
The app is a good app however it was not good for what I needed the app for. It might wrk for other people's needs.,3
I so love this app.I have been looking for a book that will help me memorize Bible verses easily without having to look at a page full of words. I give this app 5 stars easily.,5
"I was looking for an app to help me with my annual &#34;read through the Bible in a year&#34; and this app is perfect.  I really like the way it offers several different plans (since I like to do it a different way each year).  Plus with this app there are daily messages (in your choice of lots of translations!), and practically all of it can be read aloud to you.  This is an excellent Bible app.",5
"I have this downloaded on my Kindle Fire and use it in church, it is so much easier to go to the different books of the bible",5
"There are so many different options. You can read a verse or listen to a podcast or even just read the Bible. Looking up verses is a cinch. There is also an option for audio. Great app,  just genius!!!!!",5
I like the fact that it has audio as well and that I can read the daily plan in different versions.  I recommended this to my brother who has macular degeneration in both eyes and he thoroughly enjoys it as well.,5
Great app!!!! I use it alot since I've had it..I just don't think there's any other app out there that has it all......!!!,5
This app allows you to read and listen to the word during your devotions on a daily basis. While moving around or in one place you can listen to your favorite pastor sharing messages.  Your can listen anywhere and really immerse yourself in the word so that you enhance your understanding of the bible.Don't take my word for it. Try it out yourselves.,5
This is one of the best Apps going for a daily bible guide that works well on the Kindle Fire. It is easy to start and has links that are just as easy to use for further depth if you want to pursue a topic. I really like it.,5
"I love this app. It has a lot of variety to it in the way of speakers or podcasts, scripture verses and everything.",5
this app works great. u can schedule it to give u one inspirational verse per day as well as choose what translation u want showing on the widget.,5
"Pretty good Bible app if you have internet service.  Some of the information you may need to look up May not display if you are not connected online.  This is the first Bible app I tried, it is often difficult to manipulate the search engine.I have since found a much better Bible app in my opinion and much more user friendly but maybe someone might like this better.  This app just did not work for me.",3
Getting the daily verses are good.  Some days it hits home for that day.  Being able to find verses so quickly is wonderful.  I am still a hunter for some of the books of the Bible.,5
So uplifting to get a bible verse on a daily basis.  Love the access to look up information when needed for bible study and the ability to have it read to you is a great feature.,5
I am really enjoying this app.  I like the daily plan as it covers passages from different books; also the devotional podcasts. This is my third Bible app. and I put this at the top of the list.Recommend it to everyone,5
"This app was awesome, but the Daily Plan went blank, and has not been fixed. it doesn't matter which plan you are on. I tried going to the website, but joansoft.com is totally down. Looks like the domain may have expired. Does that mean things won't get fixed? Help!",3
"very straightforward, easy to use, plus the Daily Devotion are real time and up to date.With Joyce Meyer, Joel Olsten any other . The I like is from joyce Meyer's New book God's not mad at you.",5
"I like this app.  It sends a reading to you each day, it will read the verse to you if connected.  Tabs include: Daily Plan ( various longer Bible verses that can be read to you), Devotion tab (recordings of various speaker talks on different subjects), and a final Search tab (you can enter a book, chapter and verse and it will come up).  This is a very useful and  very friendly app.",5
A Word each day from God's Word and so much more! It's free like Jesus frees a man from his sin.,5
first thing I would like to do is to thank amazon for putting the Bible and Christian readings on the amazon fire.ienjoy the daily Bible because of the daily readings. everyone should have it installed on their kindle fire .thanks Tommy adams,5
"VerseS Are Well Choosen And Mostly Just What I Need For That Day. Awesome Links To Podcasts, And A Really Good variety.",5
Downloaded to use when I go to church or Bible study. Easy to find scriptures and several version selections also,5
I love this app. It was one of the first I downloaded on my tablet. The many versions and ease of use are super. The best feature I love are the audio devotions.,5
I like this app a lot Thanks for being here.Hope it helps you as much ss it helps me.,5
"The podcast devotionals are great pick me ups, or when attending church is not an option. I also love the verse of the day part.",5
the best mobile Bible app that I could find.I love it. You can listen to a devotional.Please download it now.,5
I love that a quote from the Bible pops up everyday while I'm in the middle of doing something else. It allows me to stop and reflect on the Word.,5
I was really surprised by this product. You basically get to read a line a day and navigation is very very very very very very hard. Maybe God can figure it out.,3
"Daily Bible verse.  I love this, it pops up every morning, its searchable, and you can save your favorite verses.",5
It just helps me feel closer to the lord so I love who made this app :)thanks to God I am here today,5
didn't like this app at all I dnt receive anything I instantly uninstalled. i expected the best from this App and didn't get it,1
"I get the point of it, but its just the fact that there is no tutorial.  they tell you what to do but it is.not clear",3
